Name,Address,Phone,Lat,Long
Holman-Abbeville Mortuary Inc,"434 Ozark Rd, Abbeville, AL 36310, USA",(334) 585-5261,31.554803,-85.268855
Stanford & Son Funeral Home,"2378 US-431, Abbeville, AL 36310, USA",(334) 585-5344,31.5558681,-85.2832779
Crestview Memorial Funeral Home Inc,"4732 Adamsville Pkwy, Adamsville, AL 35005, USA",(205) 674-1616,33.6004106,-86.94781189999999
Nichols Funeral Homes,"32657 US-278, Addison, AL 35540, USA",(256) 747-6063,34.1878512,-87.1525578
Armour's Funeral Service,"1465 N Central Ave, Alexander City, AL 35010, USA",(256) 234-2776,32.9613695,-85.96375309999999
Heritage Chapel Funeral Home,"131 Mason St, Alexander City, AL 35010, USA",(256) 234-6327,32.9311035,-85.9498167
House Of Hutchinson Funeral Directors,"715 Jefferson St, Alexander City, AL 35010, USA",(256) 234-7531,32.9524748,-85.94705520000001
Radney's Funeral Home Inc,"1326 Dadeville Rd, Alexander City, AL 35010, USA",(256) 234-2511,32.929385,-85.94673709999999
Foreman Brown-Service Funeral Home Inc,"1516 M.L.K. Jr Expy, Andalusia, AL 36420, USA",(334) 222-4567,31.3181909,-86.455037
Keahey Funeral Home,"206 Stanley Ave, Andalusia, AL 36420, USA",(334) 222-8440,31.3065695,-86.4712055
